id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_dokter_spesialis,satuan,tahun
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,192,ORANG,2024
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,249,ORANG,2024
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,132,ORANG,2024
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,320,ORANG,2024
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,752,ORANG,2024
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,1410,ORANG,2024
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,250,ORANG,2024
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,22,ORANG,2024
235,32,JAWA BARAT,3271,KOTA BOGOR,1028,ORANG,2024
236,32,JAWA BARAT,3272,KOTA SUKABUMI,158,ORANG,2024
237,32,JAWA BARAT,3273,KOTA BANDUNG,2678,ORANG,2024
238,32,JAWA BARAT,3274,KOTA CIREBON,366,ORANG,2024
239,32,JAWA BARAT,3275,KOTA BEKASI,1914,ORANG,2024
240,32,JAWA BARAT,3276,KOTA DEPOK,1587,ORANG,2024
241,32,JAWA BARAT,3277,KOTA CIMAHI,398,ORANG,2024
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,283,ORANG,2024
243,32,JAWA BARAT,3279,KOTA BANJAR,89,ORANG,2024
