id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_dokter_umum,satuan,tahun
153,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,11,ORANG,2021
154,32,JAWA BARAT,3271,KOTA BOGOR,394,ORANG,2021
155,32,JAWA BARAT,3272,KOTA SUKABUMI,93,ORANG,2021
156,32,JAWA BARAT,3273,KOTA BANDUNG,905,ORANG,2021
157,32,JAWA BARAT,3274,KOTA CIREBON,131,ORANG,2021
158,32,JAWA BARAT,3275,KOTA BEKASI,821,ORANG,2021
159,32,JAWA BARAT,3276,KOTA DEPOK,532,ORANG,2021
160,32,JAWA BARAT,3277,KOTA CIMAHI,215,ORANG,2021
161,32,JAWA BARAT,3278,KOTA TASIKMALAYA,119,ORANG,2021
162,32,JAWA BARAT,3279,KOTA BANJAR,39,ORANG,2021
163,32,JAWA BARAT,3201,KABUPATEN BOGOR,850,ORANG,2022
164,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,314,ORANG,2022
165,32,JAWA BARAT,3203,KABUPATEN CIANJUR,185,ORANG,2022
166,32,JAWA BARAT,3204,KABUPATEN BANDUNG,437,ORANG,2022
167,32,JAWA BARAT,3205,KABUPATEN GARUT,246,ORANG,2022
168,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,125,ORANG,2022
169,32,JAWA BARAT,3207,KABUPATEN CIAMIS,144,ORANG,2022
170,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,211,ORANG,2022
171,32,JAWA BARAT,3209,KABUPATEN CIREBON,465,ORANG,2022
172,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,145,ORANG,2022
173,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,136,ORANG,2022
174,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,227,ORANG,2022
175,32,JAWA BARAT,3213,KABUPATEN SUBANG,206,ORANG,2022
176,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,258,ORANG,2022
177,32,JAWA BARAT,3215,KABUPATEN KARAWANG,477,ORANG,2022
178,32,JAWA BARAT,3216,KABUPATEN BEKASI,676,ORANG,2022
179,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,223,ORANG,2022
180,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,63,ORANG,2022
181,32,JAWA BARAT,3271,KOTA BOGOR,494,ORANG,2022
182,32,JAWA BARAT,3272,KOTA SUKABUMI,156,ORANG,2022
183,32,JAWA BARAT,3273,KOTA BANDUNG,2514,ORANG,2022
184,32,JAWA BARAT,3274,KOTA CIREBON,231,ORANG,2022
185,32,JAWA BARAT,3275,KOTA BEKASI,916,ORANG,2022
186,32,JAWA BARAT,3276,KOTA DEPOK,621,ORANG,2022
187,32,JAWA BARAT,3277,KOTA CIMAHI,288,ORANG,2022
188,32,JAWA BARAT,3278,KOTA TASIKMALAYA,182,ORANG,2022
189,32,JAWA BARAT,3279,KOTA BANJAR,64,ORANG,2022
190,32,JAWA BARAT,3201,KABUPATEN BOGOR,1268,ORANG,2023
191,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,411,ORANG,2023
192,32,JAWA BARAT,3203,KABUPATEN CIANJUR,372,ORANG,2023
193,32,JAWA BARAT,3204,KABUPATEN BANDUNG,741,ORANG,2023
194,32,JAWA BARAT,3205,KABUPATEN GARUT,403,ORANG,2023
195,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,191,ORANG,2023
196,32,JAWA BARAT,3207,KABUPATEN CIAMIS,182,ORANG,2023
197,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,243,ORANG,2023
198,32,JAWA BARAT,3209,KABUPATEN CIREBON,484,ORANG,2023
199,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,250,ORANG,2023
200,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,271,ORANG,2023
201,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,296,ORANG,2023
202,32,JAWA BARAT,3213,KABUPATEN SUBANG,332,ORANG,2023
203,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,347,ORANG,2023
204,32,JAWA BARAT,3215,KABUPATEN KARAWANG,765,ORANG,2023
205,32,JAWA BARAT,3216,KABUPATEN BEKASI,1299,ORANG,2023
206,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,295,ORANG,2023
207,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,70,ORANG,2023
208,32,JAWA BARAT,3271,KOTA BOGOR,694,ORANG,2023
209,32,JAWA BARAT,3272,KOTA SUKABUMI,221,ORANG,2023
210,32,JAWA BARAT,3273,KOTA BANDUNG,2641,ORANG,2023
211,32,JAWA BARAT,3274,KOTA CIREBON,354,ORANG,2023
212,32,JAWA BARAT,3275,KOTA BEKASI,1307,ORANG,2023
213,32,JAWA BARAT,3276,KOTA DEPOK,1137,ORANG,2023
214,32,JAWA BARAT,3277,KOTA CIMAHI,391,ORANG,2023
215,32,JAWA BARAT,3278,KOTA TASIKMALAYA,250,ORANG,2023
216,32,JAWA BARAT,3279,KOTA BANJAR,83,ORANG,2023
217,32,JAWA BARAT,3201,KABUPATEN BOGOR,1816,ORANG,2024
218,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,570,ORANG,2024
219,32,JAWA BARAT,3203,KABUPATEN CIANJUR,597,ORANG,2024
220,32,JAWA BARAT,3204,KABUPATEN BANDUNG,1012,ORANG,2024
221,32,JAWA BARAT,3205,KABUPATEN GARUT,674,ORANG,2024
222,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,389,ORANG,2024
223,32,JAWA BARAT,3207,KABUPATEN CIAMIS,293,ORANG,2024
224,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,358,ORANG,2024
225,32,JAWA BARAT,3209,KABUPATEN CIREBON,682,ORANG,2024
226,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,445,ORANG,2024
227,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,472,ORANG,2024
228,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,506,ORANG,2024
229,32,JAWA BARAT,3213,KABUPATEN SUBANG,515,ORANG,2024
230,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,494,ORANG,2024
231,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1235,ORANG,2024
232,32,JAWA BARAT,3216,KABUPATEN BEKASI,1980,ORANG,2024
233,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,495,ORANG,2024
234,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,117,ORANG,2024
235,32,JAWA BARAT,3271,KOTA BOGOR,943,ORANG,2024
236,32,JAWA BARAT,3272,KOTA SUKABUMI,268,ORANG,2024
237,32,JAWA BARAT,3273,KOTA BANDUNG,3305,ORANG,2024
238,32,JAWA BARAT,3274,KOTA CIREBON,395,ORANG,2024
239,32,JAWA BARAT,3275,KOTA BEKASI,1700,ORANG,2024
240,32,JAWA BARAT,3276,KOTA DEPOK,1699,ORANG,2024
241,32,JAWA BARAT,3277,KOTA CIMAHI,567,ORANG,2024
242,32,JAWA BARAT,3278,KOTA TASIKMALAYA,457,ORANG,2024
243,32,JAWA BARAT,3279,KOTA BANJAR,149,ORANG,2024
